stock_ticker,theme_name,theme_type,weight,llm_confidence,evidence
2330,半導體,sector,1.0,0.99,主要營收來自半導體
2454,半導體,sector,1.0,0.99,主要營收來自半導體
3711,半導體,sector,1.0,0.99,主要營收來自半導體
2317,電子代工,sector,1.0,0.99,主要營收來自電子代工
2356,電子代工,sector,1.0,0.99,主要營收來自電子代工
2376,電子代工,sector,1.0,0.99,主要營收來自電子代工
2382,電子代工,sector,1.0,0.99,主要營收來自電子代工
3231,電子代工,sector,1.0,0.99,主要營收來自電子代工
2884,金融,sector,1.0,0.99,主要營收來自金融
2885,金融,sector,1.0,0.99,主要營收來自金融
2891,金融,sector,1.0,0.99,主要營收來自金融
2412,電信,sector,1.0,0.99,主要營收來自電信
3008,光學,sector,1.0,0.99,主要營收來自光學
2308,電力電子,sector,1.0,0.99,主要營收來自電力電子
1101,水泥,sector,1.0,0.99,主要營收來自水泥
2454,5G通訊,factor,1.0,0.95,5G 數據機晶片全球前二，純 5G 核心
2412,5G通訊,factor,0.7,0.8,5G 電信營運商，基地台與頻譜布建
2317,5G通訊,factor,0.4,0.6,5G 基地台與終端組裝，部分相關
3711,5G通訊,factor,0.4,0.6,5G 晶片封測，間接相關
2382,5G通訊,factor,0.3,0.55,5G 網通/伺服器設備，部分相關
2330,5G通訊,factor,0.3,0.5,5G 晶片代工，但屬泛半導體非純 5G
2330,AI供應鏈,factor,0.9,0.9,AI 晶片先進製程主要代工
2382,AI供應鏈,factor,0.8,0.85,AI 伺服器代工龍頭
2454,AI供應鏈,factor,0.7,0.85,AI 邊緣運算 SoC
3231,AI供應鏈,factor,0.7,0.8,AI 伺服器/網通代工
2376,AI供應鏈,factor,0.6,0.75,AI 顯卡與伺服器板卡
2317,AI供應鏈,factor,0.5,0.7,AI 伺服器系統組裝
2330,科技,sector,1.0,0.95,半導體龍頭
2454,科技,sector,1.0,0.95,IC 設計
2317,科技,sector,1.0,0.9,電子代工
2382,科技,sector,1.0,0.9,電子代工
3231,科技,sector,1.0,0.9,電子代工
2356,科技,sector,1.0,0.9,電子代工
2376,科技,sector,1.0,0.9,板卡
3008,科技,sector,1.0,0.85,光學鏡頭
2308,科技,sector,1.0,0.9,電源管理
3711,科技,sector,1.0,0.9,封測
2412,高股息,income,0.9,0.85,電信高殖利率定存股
2884,高股息,income,0.8,0.8,金控穩定配息
2885,高股息,income,0.8,0.8,金控穩定配息
2891,高股息,income,0.8,0.8,金控穩定配息
1101,高股息,income,0.7,0.75,傳產高息
2382,高股息,income,0.6,0.7,代工龍頭兼具配息
2308,ESG永續,esg,0.9,0.75,綠能/碳管理標竿
2884,ESG永續,esg,0.88,0.72,金融業 ESG 領先
2330,ESG永續,esg,0.86,0.72,供應鏈減碳與治理佳
2412,ESG永續,esg,0.84,0.7,電信 ESG 揭露完整
2454,ESG永續,esg,0.8,0.68,治理評鑑前段
2891,ESG永續,esg,0.78,0.66,金控 ESG 中上
